antecedents_str,consequents_str,support,confidence,lift,conviction,zhang,leverage,antecedents_len,consequents_len
symptoms of eye,foreign body sensation in eye,0.017891373801916934,0.38670411985018727,11.154740676778207,1.5740082184974478,0.954513853842089,0.016287448231584047,1,1
eye redness,symptoms of eye,0.015075540152704825,0.5072886297376094,10.964535493169981,1.935684347226766,0.9366315659015935,0.013700603643803407,1,1
symptoms of eye,eye redness,0.015075540152704825,0.3258426966292135,10.964535493169981,1.4392518185592318,0.9528832610822895,0.013700603643803407,1,1
spots or clouds in vision,lacrimation,0.011783180809010668,0.36831415030467163,10.963342059439668,1.5298822017386131,0.9388219186601705,0.010708400806240883,1,1
lacrimation,spots or clouds in vision,0.011783180809010668,0.35074145712443583,10.963342059439668,1.490943489793571,0.9403790291905988,0.010708400806240883,1,1
lacrimation,pain in eye,0.016310174906590133,0.4854932301740812,10.899104645787451,1.8570322758214102,0.9398227470470678,0.014813705661027464,1,1
pain in eye,lacrimation,0.016310174906590133,0.3661560904449307,10.899104645787451,1.5246733840471696,0.9505928587795673,0.014813705661027464,1,1
"diminished vision, pain in eye",symptoms of eye,0.010396924243244707,0.49896049896049893,10.784531290149268,1.903509973043763,0.9265819424627534,0.009432865262513537,2,1
delusions or hallucinations,anxiety and nervousness,0.011826501326690855,0.5430134261561412,10.738733070063676,2.077597417691753,0.9270701684761071,0.010725207417108583,1,1
pain during pregnancy,vaginal discharge,0.0112091839497482,0.37939882697947214,10.628577272193434,1.5538222216663935,0.9334937223729879,0.010154557007431682,1,1
vaginal discharge,pain during pregnancy,0.0112091839497482,0.3140169902912621,10.628577272193434,1.4146930655821337,0.9394486908060101,0.010154557007431682,1,1
eye redness,pain in eye,0.014035847728380355,0.4723032069970846,10.602994558248435,1.8106149030359369,0.9334264726491623,0.012712085120442262,1,1
pain in eye,eye redness,0.014035847728380355,0.3150984682713348,10.602994558248433,1.416673901170052,0.9479110778616572,0.012712085120442262,1,1
skin lesion,abnormal appearing skin,0.012292196891752856,0.44702638834186686,10.418016549103047,1.7308077764648944,0.9295735728345974,0.011112298891608944,1,1
diminished vision,foreign body sensation in eye,0.018335409108138842,0.36082693947144073,10.408295987533734,1.5102838579087743,0.9523146305308454,0.016573794226115924,1,1
foreign body sensation in eye,diminished vision,0.018335409108138842,0.528897219618869,10.408295987533732,2.014815178957834,0.9363846698635188,0.016573794226115924,1,1
itching of skin,skin rash,0.014783126658363567,0.4042049156055671,10.381713736422821,1.6130809231361172,0.9379819278423114,0.013359168433961848,1,1
skin rash,itching of skin,0.014783126658363567,0.3796940194714882,10.38171373642282,1.553147451726398,0.9402861881563707,0.013359168433961848,1,1
cramps and spasms,pelvic pain,0.013700113716358911,0.4876638396299152,10.332363614554433,1.8597209599634401,0.9293245696563843,0.01237417182857434,1,1
itchiness of eye,spots or clouds in vision,0.010364433854984567,0.32706766917293234,10.2233558676651,1.4384920345608188,0.9317096700003072,0.009350634277903848,1,1
spots or clouds in vision,itchiness of eye,0.010364433854984567,0.3239675016926201,10.223355867665099,1.4323439239109923,0.9320015426663102,0.009350634277903848,1,1
diminished vision,lacrimation,0.01739318784859479,0.34228473998294967,10.188543348267459,1.4693363485499222,0.950131440765534,0.015686055901067426,1,1
lacrimation,diminished vision,0.01739318784859479,0.5177304964539006,10.188543348267457,1.9681630826370722,0.9332015046340894,0.015686055901067426,1,1
symptoms of eye,diminished vision,0.023912925759462824,0.5168539325842696,10.17129323639568,1.9645922771102693,0.9454254340642494,0.02156190458607891,1,1
diminished vision,symptoms of eye,0.023912925759462824,0.4705882352941176,10.17129323639568,1.8014969645553927,0.949956071791244,0.02156190458607891,1,1
"pain in eye, symptoms of eye",diminished vision,0.010396924243244707,0.5158516926383665,10.151569914698118,1.9605253562358318,0.9200362811415433,0.009372755141262623,2,1
foreign body sensation in eye,itchiness of eye,0.011100882655547734,0.3202124336144955,10.104858187899673,1.4244318213490519,0.9333959667193323,0.010002313784107184,1,1
itchiness of eye,foreign body sensation in eye,0.011100882655547734,0.3503075871496924,10.104858187899671,1.4858304278040697,0.9305250712742673,0.010002313784107184,1,1
"anxiety and nervousness, depressive or psychotic symptoms",depression,0.011025071749607408,0.4783834586466166,10.04812025799257,1.8258446110593185,0.9217213637187187,0.009927844460668689,2,1
hostile behavior,anxiety and nervousness,0.01010451074890345,0.5059652928416486,10.006062393346246,1.9217964081893613,0.9184017672409387,0.009094671878058245,1,1
eye redness,diminished vision,0.014945578599664265,0.5029154518950437,9.89699451209055,1.9095042008039387,0.9264926164458485,0.013435465748595573,1,1
pain in eye,spots or clouds in vision,0.013970866951860075,0.31363967906637497,9.803628898643781,1.4103492992958058,0.9398624927706162,0.012545795981069576,1,1
spots or clouds in vision,pain in eye,0.013970866951860075,0.43669600541638454,9.80362889864378,1.6961635047548433,0.9276753318625803,0.012545795981069576,1,1
pain in eye,symptoms of eye,0.020154870850706667,0.45246778507172386,9.77963785922229,1.7418768450774993,0.9396005967603759,0.018093969297823455,1,1
symptoms of eye,pain in eye,0.020154870850706667,0.43562734082397003,9.779637859222289,1.6929517441370918,0.9412970696818628,0.018093969297823455,1,1
"diminished vision, symptoms of eye",pain in eye,0.010396924243244707,0.4347826086956522,9.760674002896438,1.6904215836148473,0.9195368757420085,0.009331739170967992,2,1
pain during pregnancy,pelvic pain,0.013602642551578491,0.4604105571847507,9.754935474450196,1.7657912115854133,0.924810952624763,0.012208205593260716,1,1
"depression, depressive or psychotic symptoms",anxiety and nervousness,0.011025071749607408,0.4913127413127414,9.71629084795716,1.8664397614124548,0.9176726678231067,0.009890372107312796,2,1
symptoms of eye,spots or clouds in vision,0.014274110575621378,0.30852059925093633,9.643618663451322,1.3999083655197277,0.9397848660455992,0.012793949333895872,1,1
spots or clouds in vision,symptoms of eye,0.014274110575621378,0.4461746784021665,9.64361866345132,1.7220839313846423,0.925926926959573,0.012793949333895872,1,1
coryza,sore throat,0.017533979531055396,0.4565707839819515,9.574713454229729,1.7524176324960534,0.9313244812285849,0.01570269971105101,1,1
sore throat,coryza,0.017533979531055396,0.3677038382920736,9.574713454229729,1.5208005667456521,0.9404013256130286,0.01570269971105101,1,1
drug abuse,anxiety and nervousness,0.01177235067959062,0.4826820603907638,9.545608919721818,1.8353009881214863,0.917620038868172,0.010539076744046475,1,1
itchiness of eye,pain in eye,0.013331889316077327,0.42071086807928915,9.444769755434272,1.6493588866882534,0.9233823181467683,0.011920326127000483,1,1
double vision,foreign body sensation in eye,0.010028699842963123,0.326056338028169,9.405314580390812,1.432364172551235,0.9220367415581334,0.008962419735344819,1,1
drug abuse,depression,0.010851789678886663,0.44493783303730017,9.345617564490244,1.7158271771267666,0.9153221813646555,0.009690626213336852,1,1
pain in eye,diminished vision,0.0208371690041696,0.4677850717238026,9.20565528508468,1.7834618728855984,0.9329277572346194,0.018573650725581578,1,1
diminished vision,pain in eye,0.0208371690041696,0.4100596760443308,9.20565528508468,1.6195802166714506,0.9390910009784306,0.018573650725581578,1,1
paresthesia,loss of sensation,0.013147777115936536,0.4744040640875342,9.122053156501972,1.8036549633496746,0.9157550683715238,0.011706459367577974,1,1
itchiness of eye,symptoms of eye,0.01335354957491742,0.42139439507860565,9.108017666100903,1.648331227705838,0.9193395375237648,0.01188741829756846,1,1
itching of skin,abnormal appearing skin,0.014122488763740726,0.3861415457506663,8.999086225867686,1.5591396039469214,0.9226209425086106,0.012553164011284645,1,1
